id,version,new_date,author,comments,model_object_id
1,1,2005/07/01,Isabel Cristina Zuluaga Garces - Laura Valencia,,15
2,2,2012/12/01,Gerencia Cuantificación de Riesgos - Lilibeth Pardo (Banco y TUYA) - Laura Valencia (Leasing),,15
3,1,2009/12/01,Gcia Cuantificación de Riesgos,,16
4,2,2009/12/01,Gcia Metodologías de Riesgo,,16
5,1,2009/12/01,Gcia Cuantificación de Riesgos,,17
6,2,2009/12/01,Gcia Metodologías de Riesgo,,17
7,1,2005/07/01,Gerencia Cuantificación de Riesgos Isabel Cristina Zuluaga Garces - Laura Valencia Lopez,,18
8,2,2013/02/01,Gerencia Cuantificación de Riesgos - Lilibeth Pardo - Laura Valencia,,18
9,1,2005/07/01,Gerencia Cuantificación de Riesgos Isabel Cristina Zuluaga Garces - Laura Valencia Lopez,,19
10,2,2013/02/01,Gerencia Cuantificación de Riesgos - Lilibeth Pardo - Laura Valencia,,19
